rgn_id,year,trend
1804,2012,-2e-4
1804,2013,4e-4
1804,2014,3e-4
1804,2015,3e-4
1804,2016,0.001
1805,2012,-2e-4
1805,2013,4e-4
1805,2014,3e-4
1805,2015,3e-4
1805,2016,0.001
1811,2012,-2e-4
1811,2013,4e-4
1811,2014,3e-4
1811,2015,3e-4
1811,2016,0.001
1812,2012,-2e-4
1812,2013,4e-4
1812,2014,3e-4
1812,2015,3e-4
1812,2016,0.001
1813,2012,-2e-4
1813,2013,4e-4
1813,2014,3e-4
1813,2015,3e-4
1813,2016,0.001
1815,2012,-2e-4
1815,2013,4e-4
1815,2014,3e-4
1815,2015,3e-4
1815,2016,0.001
1816,2012,-2e-4
1816,2013,4e-4
1816,2014,3e-4
1816,2015,3e-4
1816,2016,0.001
1818,2012,-2e-4
1818,2013,4e-4
1818,2014,3e-4
1818,2015,3e-4
1818,2016,0.001
1820,2012,-2e-4
1820,2013,4e-4
1820,2014,3e-4
1820,2015,3e-4
1820,2016,0.001
1822,2012,-2e-4
1822,2013,4e-4
1822,2014,3e-4
1822,2015,3e-4
1822,2016,0.001
1824,2012,-2e-4
1824,2013,4e-4
1824,2014,3e-4
1824,2015,3e-4
1824,2016,0.001
1827,2012,-2e-4
1827,2013,4e-4
1827,2014,3e-4
1827,2015,3e-4
1827,2016,0.001
1828,2012,-2e-4
1828,2013,4e-4
1828,2014,3e-4
1828,2015,3e-4
1828,2016,0.001
1832,2012,-2e-4
1832,2013,4e-4
1832,2014,3e-4
1832,2015,3e-4
1832,2016,0.001
1833,2012,-2e-4
1833,2013,4e-4
1833,2014,3e-4
1833,2015,3e-4
1833,2016,0.001
1834,2012,-2e-4
1834,2013,4e-4
1834,2014,3e-4
1834,2015,3e-4
1834,2016,0.001
1835,2012,-2e-4
1835,2013,4e-4
1835,2014,3e-4
1835,2015,3e-4
1835,2016,0.001
1836,2012,-2e-4
1836,2013,4e-4
1836,2014,3e-4
1836,2015,3e-4
1836,2016,0.001
1837,2012,-2e-4
1837,2013,4e-4
1837,2014,3e-4
1837,2015,3e-4
1837,2016,0.001
1838,2012,-2e-4
1838,2013,4e-4
1838,2014,3e-4
1838,2015,3e-4
1838,2016,0.001
1840,2012,-2e-4
1840,2013,4e-4
1840,2014,3e-4
1840,2015,3e-4
1840,2016,0.001
1841,2012,-2e-4
1841,2013,4e-4
1841,2014,3e-4
1841,2015,3e-4
1841,2016,0.001
1845,2012,-2e-4
1845,2013,4e-4
1845,2014,3e-4
1845,2015,3e-4
1845,2016,0.001
1848,2012,-2e-4
1848,2013,4e-4
1848,2014,3e-4
1848,2015,3e-4
1848,2016,0.001
1849,2012,-2e-4
1849,2013,4e-4
1849,2014,3e-4
1849,2015,3e-4
1849,2016,0.001
1850,2012,-2e-4
1850,2013,4e-4
1850,2014,3e-4
1850,2015,3e-4
1850,2016,0.001
1851,2012,-2e-4
1851,2013,4e-4
1851,2014,3e-4
1851,2015,3e-4
1851,2016,0.001
1852,2012,-2e-4
1852,2013,4e-4
1852,2014,3e-4
1852,2015,3e-4
1852,2016,0.001
1853,2012,-2e-4
1853,2013,4e-4
1853,2014,3e-4
1853,2015,3e-4
1853,2016,0.001
1854,2012,-2e-4
1854,2013,4e-4
1854,2014,3e-4
1854,2015,3e-4
1854,2016,0.001
1856,2012,-2e-4
1856,2013,4e-4
