rgn_id,year,trend
1804,2012,-0.0924
1804,2013,-0.0644
1804,2014,-0.0706
1804,2015,-0.0683
1804,2016,0.1786
1805,2012,-0.0924
1805,2013,-0.0644
1805,2014,-0.0706
1805,2015,-0.0683
1805,2016,0.1786
1811,2012,-0.0924
1811,2013,-0.0644
1811,2014,-0.0706
1811,2015,-0.0683
1811,2016,0.1786
1812,2012,-0.0924
1812,2013,-0.0644
1812,2014,-0.0706
1812,2015,-0.0683
1812,2016,0.1786
1813,2012,-0.0924
1813,2013,-0.0644
1813,2014,-0.0706
1813,2015,-0.0683
1813,2016,0.1786
1815,2012,-0.0924
1815,2013,-0.0644
1815,2014,-0.0706
1815,2015,-0.0683
1815,2016,0.1786
1816,2012,-0.0924
1816,2013,-0.0644
1816,2014,-0.0706
1816,2015,-0.0683
1816,2016,0.1786
1818,2012,-0.0924
1818,2013,-0.0644
1818,2014,-0.0706
1818,2015,-0.0683
1818,2016,0.1786
1820,2012,-0.0924
1820,2013,-0.0644
1820,2014,-0.0706
1820,2015,-0.0683
1820,2016,0.1786
1822,2012,-0.0924
1822,2013,-0.0644
1822,2014,-0.0706
1822,2015,-0.0683
1822,2016,0.1786
1824,2012,-0.0924
1824,2013,-0.0644
1824,2014,-0.0706
1824,2015,-0.0683
1824,2016,0.1786
1827,2012,-0.0924
1827,2013,-0.0644
1827,2014,-0.0706
1827,2015,-0.0683
1827,2016,0.1786
1828,2012,-0.0924
1828,2013,-0.0644
1828,2014,-0.0706
1828,2015,-0.0683
1828,2016,0.1786
1832,2012,-0.0924
1832,2013,-0.0644
1832,2014,-0.0706
1832,2015,-0.0683
1832,2016,0.1786
1833,2012,-0.0924
1833,2013,-0.0644
1833,2014,-0.0706
1833,2015,-0.0683
1833,2016,0.1786
1834,2012,-0.0924
1834,2013,-0.0644
1834,2014,-0.0706
1834,2015,-0.0683
1834,2016,0.1786
1835,2012,-0.0924
1835,2013,-0.0644
1835,2014,-0.0706
1835,2015,-0.0683
1835,2016,0.1786
1836,2012,-0.0924
1836,2013,-0.0644
1836,2014,-0.0706
1836,2015,-0.0683
1836,2016,0.1786
1837,2012,-0.0924
1837,2013,-0.0644
1837,2014,-0.0706
1837,2015,-0.0683
1837,2016,0.1786
1838,2012,-0.0924
1838,2013,-0.0644
1838,2014,-0.0706
1838,2015,-0.0683
1838,2016,0.1786
1840,2012,-0.0924
1840,2013,-0.0644
1840,2014,-0.0706
1840,2015,-0.0683
1840,2016,0.1786
1841,2012,-0.0924
1841,2013,-0.0644
1841,2014,-0.0706
1841,2015,-0.0683
1841,2016,0.1786
1845,2012,-0.0924
1845,2013,-0.0644
1845,2014,-0.0706
1845,2015,-0.0683
1845,2016,0.1786
1848,2012,-0.0924
1848,2013,-0.0644
1848,2014,-0.0706
1848,2015,-0.0683
1848,2016,0.1786
1849,2012,-0.0924
1849,2013,-0.0644
1849,2014,-0.0706
1849,2015,-0.0683
1849,2016,0.1786
1850,2012,-0.0924
1850,2013,-0.0644
1850,2014,-0.0706
1850,2015,-0.0683
1850,2016,0.1786
1851,2012,-0.0924
1851,2013,-0.0644
1851,2014,-0.0706
1851,2015,-0.0683
1851,2016,0.1786
1852,2012,-0.0924
1852,2013,-0.0644
1852,2014,-0.0706
1852,2015,-0.0683
1852,2016,0.1786
1853,2012,-0.0924
1853,2013,-0.0644
1853,2014,-0.0706
1853,2015,-0.0683
1853,2016,0.1786
1854,2012,-0.0924
1854,2013,-0.0644
1854,2014,-0.0706
1854,2015,-0.0683
1854,2016,0.1786
1856,2012,-0.0924
1856,2013,-0.0644
1856,2014,-0.0706
1856,2015,-0.0683
1856,2016,0.1786
1857,2012,-0.0924
1857,2013,-0.0644
1857,2014,-0.0706
1857,2015,-0.0683
1857,2016,0.1786
1859,2012,-0.0924
1859,2013,-0.0644
1859,2014,-0.0706
1859,2015,-0.0683
1859,2016,0.1786
1860,2012,-0.0924
1860,2013,-0.0644
1860,2014,-0.0706
1860,2015,-0.0683
1860,2016,0.1786
1865,2012,-0.0924
1865,2013,-0.0644
1865,2014,-0.0706
1865,2015,-0.0683
1865,2016,0.1786
1866,2012,-0.0924
1866,2013,-0.0644
1866,2014,-0.0706
1866,2015,-0.0683
1866,2016,0.1786
1867,2012,-0.0924
1867,2013,-0.0644
1867,2014,-0.0706
1867,2015,-0.0683
1867,2016,0.1786
1868,2012,-0.0924
1868,2013,-0.0644
1868,2014,-0.0706
1868,2015,-0.0683
1868,2016,0.1786
1870,2012,-0.0924
1870,2013,-0.0644
1870,2014,-0.0706
1870,2015,-0.0683
1870,2016,0.1786
1871,2012,-0.0924
1871,2013,-0.0644
1871,2014,-0.0706
1871,2015,-0.0683
1871,2016,0.1786
1874,2012,-0.0924
1874,2013,-0.0644
1874,2014,-0.0706
1874,2015,-0.0683
1874,2016,0.1786
1902,2012,-0.0924
1902,2013,-0.0644
1902,2014,-0.0706
1902,2015,-0.0683
1902,2016,0.1786
1903,2012,-0.0924
1903,2013,-0.0644
1903,2014,-0.0706
1903,2015,-0.0683
1903,2016,0.1786
1911,2012,-0.0924
1911,2013,-0.0644
1911,2014,-0.0706
1911,2015,-0.0683
1911,2016,0.1786
1913,2012,-0.0924
1913,2013,-0.0644
1913,2014,-0.0706
1913,2015,-0.0683
1913,2016,0.1786
1917,2012,-0.0924
1917,2013,-0.0644
1917,2014,-0.0706
1917,2015,-0.0683
1917,2016,0.1786
1919,2012,-0.0924
1919,2013,-0.0644
1919,2014,-0.0706
1919,2015,-0.0683
1919,2016,0.1786
1920,2012,-0.0924
1920,2013,-0.0644
1920,2014,-0.0706
1920,2015,-0.0683
1920,2016,0.1786
1923,2012,-0.0924
1923,2013,-0.0644
1923,2014,-0.0706
1923,2015,-0.0683
1923,2016,0.1786
1924,2012,-0.0924
1924,2013,-0.0644
1924,2014,-0.0706
1924,2015,-0.0683
1924,2016,0.1786
1925,2012,-0.0924
1925,2013,-0.0644
1925,2014,-0.0706
1925,2015,-0.0683
1925,2016,0.1786
1926,2012,-0.0924
1926,2013,-0.0644
1926,2014,-0.0706
1926,2015,-0.0683
1926,2016,0.1786
1927,2012,-0.0924
1927,2013,-0.0644
1927,2014,-0.0706
1927,2015,-0.0683
1927,2016,0.1786
1928,2012,-0.0924
1928,2013,-0.0644
1928,2014,-0.0706
1928,2015,-0.0683
1928,2016,0.1786
1929,2012,-0.0924
1929,2013,-0.0644
1929,2014,-0.0706
1929,2015,-0.0683
1929,2016,0.1786
1931,2012,-0.0924
1931,2013,-0.0644
1931,2014,-0.0706
1931,2015,-0.0683
1931,2016,0.1786
1933,2012,-0.0924
1933,2013,-0.0644
1933,2014,-0.0706
1933,2015,-0.0683
1933,2016,0.1786
1936,2012,-0.0924
1936,2013,-0.0644
1936,2014,-0.0706
1936,2015,-0.0683
1936,2016,0.1786
1938,2012,-0.0924
1938,2013,-0.0644
1938,2014,-0.0706
1938,2015,-0.0683
1938,2016,0.1786
1939,2012,-0.0924
1939,2013,-0.0644
1939,2014,-0.0706
1939,2015,-0.0683
1939,2016,0.1786
1940,2012,-0.0924
1940,2013,-0.0644
1940,2014,-0.0706
1940,2015,-0.0683
1940,2016,0.1786
1941,2012,-0.0924
1941,2013,-0.0644
1941,2014,-0.0706
1941,2015,-0.0683
1941,2016,0.1786
1942,2012,-0.0924
1942,2013,-0.0644
1942,2014,-0.0706
1942,2015,-0.0683
1942,2016,0.1786
1943,2012,-0.0924
1943,2013,-0.0644
1943,2014,-0.0706
1943,2015,-0.0683
1943,2016,0.1786
2002,2012,-0.0924
2002,2013,-0.0644
2002,2014,-0.0706
2002,2015,-0.0683
2002,2016,0.1786
2003,2012,-0.0924
2003,2013,-0.0644
2003,2014,-0.0706
2003,2015,-0.0683
2003,2016,0.1786
2004,2012,-0.0924
2004,2013,-0.0644
2004,2014,-0.0706
2004,2015,-0.0683
2004,2016,0.1786
2012,2012,-0.0924
2012,2013,-0.0644
2012,2014,-0.0706
2012,2015,-0.0683
2012,2016,0.1786
2014,2012,-0.0924
2014,2013,-0.0644
2014,2014,-0.0706
2014,2015,-0.0683
2014,2016,0.1786
2015,2012,-0.0924
2015,2013,-0.0644
2015,2014,-0.0706
2015,2015,-0.0683
2015,2016,0.1786
2017,2012,-0.0924
2017,2013,-0.0644
2017,2014,-0.0706
2017,2015,-0.0683
2017,2016,0.1786
2018,2012,-0.0924
2018,2013,-0.0644
2018,2014,-0.0706
2018,2015,-0.0683
2018,2016,0.1786
2019,2012,-0.0924
2019,2013,-0.0644
2019,2014,-0.0706
2019,2015,-0.0683
2019,2016,0.1786
2020,2012,-0.0924
2020,2013,-0.0644
2020,2014,-0.0706
2020,2015,-0.0683
2020,2016,0.1786
2022,2012,-0.0924
2022,2013,-0.0644
2022,2014,-0.0706
2022,2015,-0.0683
2022,2016,0.1786
2023,2012,-0.0924
2023,2013,-0.0644
2023,2014,-0.0706
2023,2015,-0.0683
2023,2016,0.1786
2024,2012,-0.0924
2024,2013,-0.0644
2024,2014,-0.0706
2024,2015,-0.0683
2024,2016,0.1786
2025,2012,-0.0924
2025,2013,-0.0644
2025,2014,-0.0706
2025,2015,-0.0683
2025,2016,0.1786
2027,2012,-0.0924
2027,2013,-0.0644
2027,2014,-0.0706
2027,2015,-0.0683
2027,2016,0.1786
2028,2012,-0.0924
2028,2013,-0.0644
2028,2014,-0.0706
2028,2015,-0.0683
2028,2016,0.1786
2030,2012,-0.0924
2030,2013,-0.0644
2030,2014,-0.0706
2030,2015,-0.0683
2030,2016,0.1786
