rgn_id,year,trend
1804,2009,0.0531
1804,2010,0.0524
1804,2011,0.0537
1804,2012,0.0558
1804,2013,0.058
1804,2014,0.0591
1804,2015,0.0582
1805,2009,0.0531
1805,2010,0.0524
1805,2011,0.0537
1805,2012,0.0558
1805,2013,0.058
1805,2014,0.0591
1805,2015,0.0582
1811,2009,0.0531
1811,2010,0.0524
1811,2011,0.0537
1811,2012,0.0558
1811,2013,0.058
1811,2014,0.0591
1811,2015,0.0582
1812,2009,0.0531
1812,2010,0.0524
1812,2011,0.0537
1812,2012,0.0558
1812,2013,0.058
1812,2014,0.0591
1812,2015,0.0582
1813,2009,0.0531
1813,2010,0.0524
1813,2011,0.0537
1813,2012,0.0558
1813,2013,0.058
1813,2014,0.0591
1813,2015,0.0582
1815,2009,0.0531
1815,2010,0.0524
1815,2011,0.0537
1815,2012,0.0558
1815,2013,0.058
1815,2014,0.0591
1815,2015,0.0582
1816,2009,0.0531
1816,2010,0.0524
1816,2011,0.0537
1816,2012,0.0558
1816,2013,0.058
1816,2014,0.0591
1816,2015,0.0582
1818,2009,0.0531
1818,2010,0.0524
1818,2011,0.0537
1818,2012,0.0558
1818,2013,0.058
1818,2014,0.0591
1818,2015,0.0582
1820,2009,0.0531
1820,2010,0.0524
1820,2011,0.0537
1820,2012,0.0558
1820,2013,0.058
1820,2014,0.0591
1820,2015,0.0582
1822,2009,0.0531
1822,2010,0.0524
1822,2011,0.0537
1822,2012,0.0558
1822,2013,0.058
1822,2014,0.0591
1822,2015,0.0582
1824,2009,0.0531
1824,2010,0.0524
1824,2011,0.0537
1824,2012,0.0558
1824,2013,0.058
1824,2014,0.0591
1824,2015,0.0582
1827,2009,0.0531
1827,2010,0.0524
1827,2011,0.0537
1827,2012,0.0558
1827,2013,0.058
1827,2014,0.0591
1827,2015,0.0582
1828,2009,0.0531
1828,2010,0.0524
1828,2011,0.0537
1828,2012,0.0558
1828,2013,0.058
1828,2014,0.0591
1828,2015,0.0582
1832,2009,0.0531
1832,2010,0.0524
1832,2011,0.0537
1832,2012,0.0558
1832,2013,0.058
1832,2014,0.0591
1832,2015,0.0582
1833,2009,0.0531
1833,2010,0.0524
1833,2011,0.0537
1833,2012,0.0558
1833,2013,0.058
1833,2014,0.0591
1833,2015,0.0582
1834,2009,0.0531
1834,2010,0.0524
1834,2011,0.0537
1834,2012,0.0558
1834,2013,0.058
1834,2014,0.0591
1834,2015,0.0582
1835,2009,0.0531
1835,2010,0.0524
1835,2011,0.0537
1835,2012,0.0558
1835,2013,0.058
1835,2014,0.0591
1835,2015,0.0582
1836,2009,0.0531
1836,2010,0.0524
1836,2011,0.0537
1836,2012,0.0558
1836,2013,0.058
1836,2014,0.0591
1836,2015,0.0582
1837,2009,0.0531
1837,2010,0.0524
1837,2011,0.0537
1837,2012,0.0558
1837,2013,0.058
1837,2014,0.0591
1837,2015,0.0582
1838,2009,0.0531
1838,2010,0.0524
1838,2011,0.0537
1838,2012,0.0558
1838,2013,0.058
1838,2014,0.0591
1838,2015,0.0582
1840,2009,0.0531
1840,2010,0.0524
1840,2011,0.0537
1840,2012,0.0558
1840,2013,0.058
1840,2014,0.0591
1840,2015,0.0582
1841,2009,0.0531
1841,2010,0.0524
1841,2011,0.0537
1841,2012,0.0558
1841,2013,0.058
1841,2014,0.0591
1841,2015,0.0582
1845,2009,0.0531
1845,2010,0.0524
1845,2011,0.0537
1845,2012,0.0558
1845,2013,0.058
1845,2014,0.0591
1845,2015,0.0582
1848,2009,0.0531
1848,2010,0.0524
1848,2011,0.0537
1848,2012,0.0558
1848,2013,0.058
1848,2014,0.0591
1848,2015,0.0582
1849,2009,0.0531
1849,2010,0.0524
1849,2011,0.0537
1849,2012,0.0558
1849,2013,0.058
1849,2014,0.0591
1849,2015,0.0582
1850,2009,0.0531
1850,2010,0.0524
1850,2011,0.0537
1850,2012,0.0558
1850,2013,0.058
1850,2014,0.0591
1850,2015,0.0582
1851,2009,0.0531
1851,2010,0.0524
1851,2011,0.0537
1851,2012,0.0558
1851,2013,0.058
1851,2014,0.0591
1851,2015,0.0582
1852,2009,0.0531
1852,2010,0.0524
1852,2011,0.0537
1852,2012,0.0558
1852,2013,0.058
1852,2014,0.0591
1852,2015,0.0582
1853,2009,0.0531
1853,2010,0.0524
1853,2011,0.0537
1853,2012,0.0558
1853,2013,0.058
1853,2014,0.0591
1853,2015,0.0582
1854,2009,0.0531
1854,2010,0.0524
1854,2011,0.0537
1854,2012,0.0558
1854,2013,0.058
1854,2014,0.0591
1854,2015,0.0582
1856,2009,0.0531
1856,2010,0.0524
1856,2011,0.0537
1856,2012,0.0558
1856,2013,0.058
1856,2014,0.0591
1856,2015,0.0582
1857,2009,0.0531
1857,2010,0.0524
1857,2011,0.0537
1857,2012,0.0558
1857,2013,0.058
1857,2014,0.0591
1857,2015,0.0582
1859,2009,0.0531
1859,2010,0.0524
1859,2011,0.0537
1859,2012,0.0558
1859,2013,0.058
1859,2014,0.0591
1859,2015,0.0582
1860,2009,0.0531
1860,2010,0.0524
1860,2011,0.0537
1860,2012,0.0558
1860,2013,0.058
1860,2014,0.0591
1860,2015,0.0582
1865,2009,0.0531
1865,2010,0.0524
1865,2011,0.0537
1865,2012,0.0558
1865,2013,0.058
1865,2014,0.0591
1865,2015,0.0582
1866,2009,0.0531
1866,2010,0.0524
1866,2011,0.0537
1866,2012,0.0558
1866,2013,0.058
1866,2014,0.0591
1866,2015,0.0582
1867,2009,0.0531
1867,2010,0.0524
1867,2011,0.0537
1867,2012,0.0558
1867,2013,0.058
1867,2014,0.0591
1867,2015,0.0582
1868,2009,0.0531
1868,2010,0.0524
1868,2011,0.0537
1868,2012,0.0558
1868,2013,0.058
1868,2014,0.0591
1868,2015,0.0582
1870,2009,0.0531
1870,2010,0.0524
1870,2011,0.0537
1870,2012,0.0558
1870,2013,0.058
1870,2014,0.0591
1870,2015,0.0582
1871,2009,0.0531
1871,2010,0.0524
1871,2011,0.0537
1871,2012,0.0558
1871,2013,0.058
1871,2014,0.0591
1871,2015,0.0582
1874,2009,0.0531
1874,2010,0.0524
1874,2011,0.0537
1874,2012,0.0558
1874,2013,0.058
1874,2014,0.0591
1874,2015,0.0582
1902,2009,0.0531
1902,2010,0.0524
1902,2011,0.0537
1902,2012,0.0558
1902,2013,0.058
1902,2014,0.0591
1902,2015,0.0582
1903,2009,0.0531
1903,2010,0.0524
1903,2011,0.0537
1903,2012,0.0558
1903,2013,0.058
1903,2014,0.0591
1903,2015,0.0582
1911,2009,0.0531
1911,2010,0.0524
1911,2011,0.0537
1911,2012,0.0558
1911,2013,0.058
1911,2014,0.0591
1911,2015,0.0582
1913,2009,0.0531
1913,2010,0.0524
1913,2011,0.0537
1913,2012,0.0558
1913,2013,0.058
1913,2014,0.0591
1913,2015,0.0582
1917,2009,0.0531
1917,2010,0.0524
1917,2011,0.0537
1917,2012,0.0558
1917,2013,0.058
1917,2014,0.0591
1917,2015,0.0582
1919,2009,0.0531
1919,2010,0.0524
1919,2011,0.0537
1919,2012,0.0558
1919,2013,0.058
1919,2014,0.0591
1919,2015,0.0582
1920,2009,0.0531
1920,2010,0.0524
1920,2011,0.0537
1920,2012,0.0558
1920,2013,0.058
1920,2014,0.0591
1920,2015,0.0582
1923,2009,0.0531
1923,2010,0.0524
1923,2011,0.0537
1923,2012,0.0558
1923,2013,0.058
1923,2014,0.0591
1923,2015,0.0582
1924,2009,0.0531
1924,2010,0.0524
1924,2011,0.0537
1924,2012,0.0558
1924,2013,0.058
1924,2014,0.0591
1924,2015,0.0582
1925,2009,0.0531
1925,2010,0.0524
1925,2011,0.0537
1925,2012,0.0558
1925,2013,0.058
1925,2014,0.0591
1925,2015,0.0582
1926,2009,0.0531
1926,2010,0.0524
1926,2011,0.0537
1926,2012,0.0558
1926,2013,0.058
1926,2014,0.0591
1926,2015,0.0582
1927,2009,0.0531
1927,2010,0.0524
1927,2011,0.0537
1927,2012,0.0558
1927,2013,0.058
1927,2014,0.0591
1927,2015,0.0582
1928,2009,0.0531
1928,2010,0.0524
1928,2011,0.0537
1928,2012,0.0558
1928,2013,0.058
1928,2014,0.0591
1928,2015,0.0582
1929,2009,0.0531
1929,2010,0.0524
1929,2011,0.0537
1929,2012,0.0558
1929,2013,0.058
1929,2014,0.0591
1929,2015,0.0582
1931,2009,0.0531
1931,2010,0.0524
1931,2011,0.0537
1931,2012,0.0558
1931,2013,0.058
1931,2014,0.0591
1931,2015,0.0582
1933,2009,0.0531
1933,2010,0.0524
1933,2011,0.0537
1933,2012,0.0558
1933,2013,0.058
1933,2014,0.0591
1933,2015,0.0582
1936,2009,0.0531
1936,2010,0.0524
1936,2011,0.0537
1936,2012,0.0558
1936,2013,0.058
1936,2014,0.0591
1936,2015,0.0582
1938,2009,0.0531
1938,2010,0.0524
1938,2011,0.0537
1938,2012,0.0558
1938,2013,0.058
1938,2014,0.0591
1938,2015,0.0582
1939,2009,0.0531
1939,2010,0.0524
1939,2011,0.0537
1939,2012,0.0558
1939,2013,0.058
1939,2014,0.0591
1939,2015,0.0582
1940,2009,0.0531
1940,2010,0.0524
1940,2011,0.0537
1940,2012,0.0558
1940,2013,0.058
1940,2014,0.0591
1940,2015,0.0582
1941,2009,0.0531
1941,2010,0.0524
1941,2011,0.0537
1941,2012,0.0558
1941,2013,0.058
1941,2014,0.0591
1941,2015,0.0582
1942,2009,0.0531
1942,2010,0.0524
1942,2011,0.0537
1942,2012,0.0558
1942,2013,0.058
1942,2014,0.0591
1942,2015,0.0582
1943,2009,0.0531
1943,2010,0.0524
1943,2011,0.0537
1943,2012,0.0558
1943,2013,0.058
1943,2014,0.0591
1943,2015,0.0582
2002,2009,0.0531
2002,2010,0.0524
2002,2011,0.0537
2002,2012,0.0558
2002,2013,0.058
2002,2014,0.0591
2002,2015,0.0582
2003,2009,0.0531
2003,2010,0.0524
2003,2011,0.0537
2003,2012,0.0558
2003,2013,0.058
2003,2014,0.0591
2003,2015,0.0582
2004,2009,0.0531
2004,2010,0.0524
2004,2011,0.0537
2004,2012,0.0558
2004,2013,0.058
2004,2014,0.0591
2004,2015,0.0582
2012,2009,0.0531
2012,2010,0.0524
2012,2011,0.0537
2012,2012,0.0558
2012,2013,0.058
2012,2014,0.0591
2012,2015,0.0582
2014,2009,0.0531
2014,2010,0.0524
2014,2011,0.0537
2014,2012,0.0558
2014,2013,0.058
2014,2014,0.0591
2014,2015,0.0582
2015,2009,0.0531
2015,2010,0.0524
2015,2011,0.0537
2015,2012,0.0558
2015,2013,0.058
2015,2014,0.0591
2015,2015,0.0582
2017,2009,0.0531
2017,2010,0.0524
2017,2011,0.0537
2017,2012,0.0558
2017,2013,0.058
2017,2014,0.0591
2017,2015,0.0582
2018,2009,0.0531
2018,2010,0.0524
2018,2011,0.0537
2018,2012,0.0558
2018,2013,0.058
2018,2014,0.0591
2018,2015,0.0582
2019,2009,0.0531
2019,2010,0.0524
2019,2011,0.0537
2019,2012,0.0558
2019,2013,0.058
2019,2014,0.0591
2019,2015,0.0582
2020,2009,0.0531
2020,2010,0.0524
2020,2011,0.0537
2020,2012,0.0558
2020,2013,0.058
2020,2014,0.0591
2020,2015,0.0582
2022,2009,0.0531
2022,2010,0.0524
2022,2011,0.0537
2022,2012,0.0558
2022,2013,0.058
2022,2014,0.0591
2022,2015,0.0582
2023,2009,0.0531
2023,2010,0.0524
2023,2011,0.0537
2023,2012,0.0558
2023,2013,0.058
2023,2014,0.0591
2023,2015,0.0582
2024,2009,0.0531
2024,2010,0.0524
2024,2011,0.0537
2024,2012,0.0558
2024,2013,0.058
2024,2014,0.0591
2024,2015,0.0582
2025,2009,0.0531
2025,2010,0.0524
2025,2011,0.0537
2025,2012,0.0558
2025,2013,0.058
2025,2014,0.0591
2025,2015,0.0582
2027,2009,0.0531
2027,2010,0.0524
2027,2011,0.0537
2027,2012,0.0558
2027,2013,0.058
2027,2014,0.0591
2027,2015,0.0582
2028,2009,0.0531
2028,2010,0.0524
2028,2011,0.0537
2028,2012,0.0558
2028,2013,0.058
2028,2014,0.0591
2028,2015,0.0582
2030,2009,0.0531
2030,2010,0.0524
2030,2011,0.0537
2030,2012,0.0558
2030,2013,0.058
2030,2014,0.0591
2030,2015,0.0582
