rgn_id,year,status
1804,2012,65.59
1804,2013,72.47
1805,2012,65.59
1805,2013,72.47
1811,2012,65.59
1811,2013,72.47
1812,2012,65.59
1812,2013,72.47
1813,2012,65.59
1813,2013,72.47
1815,2012,65.59
1815,2013,72.47
1816,2012,65.59
1816,2013,72.47
1818,2012,65.59
1818,2013,72.47
1820,2012,65.59
1820,2013,72.47
1822,2012,65.59
1822,2013,72.47
1824,2012,65.59
1824,2013,72.47
1827,2012,65.59
1827,2013,72.47
1828,2012,65.59
1828,2013,72.47
1832,2012,65.59
1832,2013,72.47
1833,2012,65.59
1833,2013,72.47
1834,2012,65.59
1834,2013,72.47
1835,2012,65.59
1835,2013,72.47
1836,2012,65.59
1836,2013,72.47
1837,2012,65.59
1837,2013,72.47
1838,2012,65.59
1838,2013,72.47
1840,2012,65.59
1840,2013,72.47
1841,2012,65.59
1841,2013,72.47
1845,2012,65.59
1845,2013,72.47
1848,2012,65.59
1848,2013,72.47
1849,2012,65.59
1849,2013,72.47
1850,2012,65.59
1850,2013,72.47
1851,2012,65.59
1851,2013,72.47
1852,2012,65.59
1852,2013,72.47
1853,2012,65.59
1853,2013,72.47
1854,2012,65.59
1854,2013,72.47
1856,2012,65.59
1856,2013,72.47
1857,2012,65.59
1857,2013,72.47
1859,2012,65.59
1859,2013,72.47
1860,2012,65.59
1860,2013,72.47
1865,2012,65.59
1865,2013,72.47
1866,2012,65.59
1866,2013,72.47
1867,2012,65.59
1867,2013,72.47
1868,2012,65.59
1868,2013,72.47
1870,2012,65.59
1870,2013,72.47
1871,2012,65.59
1871,2013,72.47
1874,2012,65.59
1874,2013,72.47
1902,2012,65.59
1902,2013,72.47
1903,2012,65.59
1903,2013,72.47
1911,2012,65.59
1911,2013,72.47
1913,2012,65.59
1913,2013,72.47
1917,2012,65.59
1917,2013,72.47
1919,2012,65.59
1919,2013,72.47
1920,2012,65.59
1920,2013,72.47
1923,2012,65.59
1923,2013,72.47
1924,2012,65.59
1924,2013,72.47
1925,2012,65.59
1925,2013,72.47
1926,2012,65.59
1926,2013,72.47
1927,2012,65.59
1927,2013,72.47
1928,2012,65.59
1928,2013,72.47
1929,2012,65.59
1929,2013,72.47
1931,2012,65.59
1931,2013,72.47
1933,2012,65.59
1933,2013,72.47
1936,2012,65.59
1936,2013,72.47
1938,2012,65.59
1938,2013,72.47
1939,2012,65.59
1939,2013,72.47
1940,2012,65.59
1940,2013,72.47
1941,2012,65.59
1941,2013,72.47
1942,2012,65.59
1942,2013,72.47
1943,2012,65.59
1943,2013,72.47
2002,2012,65.59
2002,2013,72.47
2003,2012,65.59
2003,2013,72.47
2004,2012,65.59
2004,2013,72.47
2012,2012,65.59
2012,2013,72.47
2014,2012,65.59
2014,2013,72.47
2015,2012,65.59
2015,2013,72.47
2017,2012,65.59
2017,2013,72.47
2018,2012,65.59
2018,2013,72.47
2019,2012,65.59
2019,2013,72.47
2020,2012,65.59
2020,2013,72.47
2022,2012,65.59
2022,2013,72.47
2023,2012,65.59
2023,2013,72.47
2024,2012,65.59
2024,2013,72.47
2025,2012,65.59
2025,2013,72.47
2027,2012,65.59
2027,2013,72.47
2028,2012,65.59
2028,2013,72.47
2030,2012,65.59
2030,2013,72.47
