rgn_id,year,resilience_score
1804,2010,1
1804,2011,1
1804,2012,1
1804,2013,1
1804,2014,1
1804,2015,1
1804,2016,1
1804,2017,1
1805,2010,1
1805,2011,1
1805,2012,1
1805,2013,1
1805,2014,1
1805,2015,1
1805,2016,1
1805,2017,1
1811,2010,1
1811,2011,1
1811,2012,1
1811,2013,1
1811,2014,1
1811,2015,1
1811,2016,1
1811,2017,1
1812,2010,1
1812,2011,1
1812,2012,1
1812,2013,1
1812,2014,1
1812,2015,1
1812,2016,1
1812,2017,1
1813,2010,1
1813,2011,1
1813,2012,1
1813,2013,1
1813,2014,1
1813,2015,1
1813,2016,1
1813,2017,1
1815,2010,1
1815,2011,1
1815,2012,1
1815,2013,1
1815,2014,1
1815,2015,1
1815,2016,1
1815,2017,1
1816,2010,1
1816,2011,1
1816,2012,1
1816,2013,1
1816,2014,1
1816,2015,1
1816,2016,1
1816,2017,1
1818,2010,1
1818,2011,1
1818,2012,1
1818,2013,1
1818,2014,1
1818,2015,1
1818,2016,1
1818,2017,1
1820,2010,1
1820,2011,1
1820,2012,1
1820,2013,1
1820,2014,1
1820,2015,1
1820,2016,1
1820,2017,1
1822,2010,1
1822,2011,1
1822,2012,1
1822,2013,1
1822,2014,1
1822,2015,1
1822,2016,1
1822,2017,1
1824,2010,1
1824,2011,1
1824,2012,1
1824,2013,1
1824,2014,1
1824,2015,1
1824,2016,1
1824,2017,1
1827,2010,1
1827,2011,1
1827,2012,1
1827,2013,1
1827,2014,1
1827,2015,1
1827,2016,1
1827,2017,1
1828,2010,1
1828,2011,1
1828,2012,1
1828,2013,1
1828,2014,1
1828,2015,1
1828,2016,1
1828,2017,1
1832,2010,1
1832,2011,1
1832,2012,1
1832,2013,1
1832,2014,1
1832,2015,1
1832,2016,1
1832,2017,1
1833,2010,1
1833,2011,1
1833,2012,1
1833,2013,1
1833,2014,1
1833,2015,1
1833,2016,1
1833,2017,1
1834,2010,1
1834,2011,1
1834,2012,1
1834,2013,1
1834,2014,1
1834,2015,1
1834,2016,1
1834,2017,1
1835,2010,1
1835,2011,1
1835,2012,1
1835,2013,1
1835,2014,1
1835,2015,1
1835,2016,1
1835,2017,1
1836,2010,1
1836,2011,1
