rgn_id,resilience.score
1804,0.62
1805,0.62
1811,0.62
1812,0.62
1813,0.62
1815,0.62
1816,0.62
1818,0.62
1820,0.62
1822,0.62
1824,0.62
1827,0.62
1828,0.62
1832,0.62
1833,0.62
1834,0.62
1835,0.62
1836,0.62
1837,0.62
1838,0.62
1840,0.62
1841,0.62
1845,0.62
1848,0.62
1849,0.62
1850,0.62
1851,0.62
1852,0.62
1853,0.62
1854,0.62
1856,0.62
1857,0.62
1859,0.62
1860,0.62
1865,0.62
1866,0.62
1867,0.62
1868,0.62
1870,0.62
1871,0.62
1874,0.62
1902,0.62
1903,0.62
1911,0.62
1913,0.62
1917,0.62
1919,0.62
1920,0.62
1923,0.62
1924,0.62
1925,0.62
1926,0.62
1927,0.62
1928,0.62
1929,0.62
1931,0.62
1933,0.62
1936,0.62
1938,0.62
1939,0.62
1940,0.62
1941,0.62
1942,0.62
1943,0.62
2002,0.62
2003,0.62
2004,0.62
2012,0.62
2014,0.62
2015,0.62
2017,0.62
2018,0.62
2019,0.62
2020,0.62
2022,0.62
2023,0.62
2024,0.62
2025,0.62
2027,0.62
2028,0.62
2030,0.62
