rgn_id,habitat,year,health
1804,coral,2018,2018
1805,coral,2018,2018
1811,coral,2018,2018
1812,coral,2018,2018
1813,coral,2018,2018
1815,coral,2018,2018
1816,coral,2018,2018
1818,coral,2018,2018
1820,coral,2018,2018
1822,coral,2018,2018
1824,coral,2018,2018
1827,coral,2018,2018
1828,coral,2018,2018
1832,coral,2018,2018
1833,coral,2018,2018
1834,coral,2018,2018
1835,coral,2018,2018
1836,coral,2018,2018
1837,coral,2018,2018
1838,coral,2018,2018
1840,coral,2018,2018
1841,coral,2018,2018
1845,coral,2018,2018
1848,coral,2018,2018
1849,coral,2018,2018
1850,coral,2018,2018
1851,coral,2018,2018
1852,coral,2018,2018
1853,coral,2018,2018
1854,coral,2018,2018
1856,coral,2018,2018
1857,coral,2018,2018
1859,coral,2018,2018
1860,coral,2018,2018
1865,coral,2018,2018
1866,coral,2018,2018
1867,coral,2018,2018
1868,coral,2018,2018
1870,coral,2018,2018
1871,coral,2018,2018
1874,coral,2018,2018
1902,coral,2018,2018
1903,coral,2018,2018
1911,coral,2018,2018
1913,coral,2018,2018
1917,coral,2018,2018
1919,coral,2018,2018
1920,coral,2018,2018
1923,coral,2018,2018
1924,coral,2018,2018
1925,coral,2018,2018
1926,coral,2018,2018
1927,coral,2018,2018
1928,coral,2018,2018
1929,coral,2018,2018
1931,coral,2018,2018
1933,coral,2018,2018
1936,coral,2018,2018
1938,coral,2018,2018
1939,coral,2018,2018
1940,coral,2018,2018
1941,coral,2018,2018
1942,coral,2018,2018
1943,coral,2018,2018
2002,coral,2018,2018
2003,coral,2018,2018
2004,coral,2018,2018
2012,coral,2018,2018
2014,coral,2018,2018
2015,coral,2018,2018
2017,coral,2018,2018
2018,coral,2018,2018
2019,coral,2018,2018
2020,coral,2018,2018
2022,coral,2018,2018
2023,coral,2018,2018
2024,coral,2018,2018
2025,coral,2018,2018
2027,coral,2018,2018
2028,coral,2018,2018
2030,coral,2018,2018
