rgn_id,habitat,year,km2
1804,mangrove,2015,0
1804,mangrove_inland1km,2015,0
1804,mangrove_offshore,2015,0
1805,mangrove,2015,0
1805,mangrove_inland1km,2015,0
1805,mangrove_offshore,2015,0
1811,mangrove,2015,0
1811,mangrove_inland1km,2015,0
1811,mangrove_offshore,2015,0
1812,mangrove,2015,0
1812,mangrove_inland1km,2015,0
1812,mangrove_offshore,2015,0
1813,mangrove,2015,0
1813,mangrove_inland1km,2015,0
1813,mangrove_offshore,2015,0
1815,mangrove,2015,0
1815,mangrove_inland1km,2015,0
1815,mangrove_offshore,2015,0
1816,mangrove,2015,0
1816,mangrove_inland1km,2015,0
1816,mangrove_offshore,2015,0
1818,mangrove,2015,0
1818,mangrove_inland1km,2015,0
1818,mangrove_offshore,2015,0
1820,mangrove,2015,0
1820,mangrove_inland1km,2015,0
1820,mangrove_offshore,2015,0
1822,mangrove,2015,0
1822,mangrove_inland1km,2015,0
1822,mangrove_offshore,2015,0
1824,mangrove,2015,0
1824,mangrove_inland1km,2015,0
1824,mangrove_offshore,2015,0
1827,mangrove,2015,0
1827,mangrove_inland1km,2015,0
1827,mangrove_offshore,2015,0
1828,mangrove,2015,0
1828,mangrove_inland1km,2015,0
1828,mangrove_offshore,2015,0
1832,mangrove,2015,0
1832,mangrove_inland1km,2015,0
1832,mangrove_offshore,2015,0
1833,mangrove,2015,0
1833,mangrove_inland1km,2015,0
1833,mangrove_offshore,2015,0
1834,mangrove,2015,0
1834,mangrove_inland1km,2015,0
1834,mangrove_offshore,2015,0
1835,mangrove,2015,0
1835,mangrove_inland1km,2015,0
1835,mangrove_offshore,2015,0
1836,mangrove,2015,0
1836,mangrove_inland1km,2015,0
1836,mangrove_offshore,2015,0
1837,mangrove,2015,0
1837,mangrove_inland1km,2015,0
1837,mangrove_offshore,2015,0
1838,mangrove,2015,0
1838,mangrove_inland1km,2015,0
1838,mangrove_offshore,2015,0
1840,mangrove,2015,0
1840,mangrove_inland1km,2015,0
1840,mangrove_offshore,2015,0
1841,mangrove,2015,0
1841,mangrove_inland1km,2015,0
1841,mangrove_offshore,2015,0
1845,mangrove,2015,0
1845,mangrove_inland1km,2015,0
1845,mangrove_offshore,2015,0
1848,mangrove,2015,0
1848,mangrove_inland1km,2015,0
1848,mangrove_offshore,2015,0
1849,mangrove,2015,0
1849,mangrove_inland1km,2015,0
1849,mangrove_offshore,2015,0
1850,mangrove,2015,0
1850,mangrove_inland1km,2015,0
1850,mangrove_offshore,2015,0
1851,mangrove,2015,0
1851,mangrove_inland1km,2015,0
1851,mangrove_offshore,2015,0
1852,mangrove,2015,0
1852,mangrove_inland1km,2015,0
1852,mangrove_offshore,2015,0
1853,mangrove,2015,0
1853,mangrove_inland1km,2015,0
1853,mangrove_offshore,2015,0
1854,mangrove,2015,0
1854,mangrove_inland1km,2015,0
1854,mangrove_offshore,2015,0
1856,mangrove,2015,0
1856,mangrove_inland1km,2015,0
1856,mangrove_offshore,2015,0
1857,mangrove,2015,0
1857,mangrove_inland1km,2015,0
1857,mangrove_offshore,2015,0
1859,mangrove,2015,0
1859,mangrove_inland1km,2015,0
1859,mangrove_offshore,2015,0
1860,mangrove,2015,0
1860,mangrove_inland1km,2015,0
1860,mangrove_offshore,2015,0
1865,mangrove,2015,0
1865,mangrove_inland1km,2015,0
1865,mangrove_offshore,2015,0
1866,mangrove,2015,0
1866,mangrove_inland1km,2015,0
1866,mangrove_offshore,2015,0
1867,mangrove,2015,0
1867,mangrove_inland1km,2015,0
1867,mangrove_offshore,2015,0
1868,mangrove,2015,0
1868,mangrove_inland1km,2015,0
1868,mangrove_offshore,2015,0
1870,mangrove,2015,0
1870,mangrove_inland1km,2015,0
1870,mangrove_offshore,2015,0
1871,mangrove,2015,0
1871,mangrove_inland1km,2015,0
1871,mangrove_offshore,2015,0
1874,mangrove,2015,0
1874,mangrove_inland1km,2015,0
1874,mangrove_offshore,2015,0
1902,mangrove,2015,0
1902,mangrove_inland1km,2015,0
1902,mangrove_offshore,2015,0
1903,mangrove,2015,0
1903,mangrove_inland1km,2015,0
1903,mangrove_offshore,2015,0
1911,mangrove,2015,0
1911,mangrove_inland1km,2015,0
1911,mangrove_offshore,2015,0
1913,mangrove,2015,0
1913,mangrove_inland1km,2015,0
1913,mangrove_offshore,2015,0
1917,mangrove,2015,0
1917,mangrove_inland1km,2015,0
1917,mangrove_offshore,2015,0
1919,mangrove,2015,0
1919,mangrove_inland1km,2015,0
1919,mangrove_offshore,2015,0
1920,mangrove,2015,0
1920,mangrove_inland1km,2015,0
1920,mangrove_offshore,2015,0
1923,mangrove,2015,0
1923,mangrove_inland1km,2015,0
1923,mangrove_offshore,2015,0
1924,mangrove,2015,0
1924,mangrove_inland1km,2015,0
1924,mangrove_offshore,2015,0
1925,mangrove,2015,0
1925,mangrove_inland1km,2015,0
1925,mangrove_offshore,2015,0
1926,mangrove,2015,0
1926,mangrove_inland1km,2015,0
1926,mangrove_offshore,2015,0
1927,mangrove,2015,0
1927,mangrove_inland1km,2015,0
1927,mangrove_offshore,2015,0
1928,mangrove,2015,0
1928,mangrove_inland1km,2015,0
1928,mangrove_offshore,2015,0
1929,mangrove,2015,0
1929,mangrove_inland1km,2015,0
1929,mangrove_offshore,2015,0
1931,mangrove,2015,0
1931,mangrove_inland1km,2015,0
1931,mangrove_offshore,2015,0
1933,mangrove,2015,0
1933,mangrove_inland1km,2015,0
1933,mangrove_offshore,2015,0
1936,mangrove,2015,0
1936,mangrove_inland1km,2015,0
1936,mangrove_offshore,2015,0
1938,mangrove,2015,0
1938,mangrove_inland1km,2015,0
1938,mangrove_offshore,2015,0
1939,mangrove,2015,0
1939,mangrove_inland1km,2015,0
1939,mangrove_offshore,2015,0
1940,mangrove,2015,0
1940,mangrove_inland1km,2015,0
1940,mangrove_offshore,2015,0
1941,mangrove,2015,0
1941,mangrove_inland1km,2015,0
1941,mangrove_offshore,2015,0
1942,mangrove,2015,0
1942,mangrove_inland1km,2015,0
1942,mangrove_offshore,2015,0
1943,mangrove,2015,0
1943,mangrove_inland1km,2015,0
1943,mangrove_offshore,2015,0
2002,mangrove,2015,0
2002,mangrove_inland1km,2015,0
2002,mangrove_offshore,2015,0
2003,mangrove,2015,0
2003,mangrove_inland1km,2015,0
2003,mangrove_offshore,2015,0
2004,mangrove,2015,0
2004,mangrove_inland1km,2015,0
2004,mangrove_offshore,2015,0
2012,mangrove,2015,0
2012,mangrove_inland1km,2015,0
2012,mangrove_offshore,2015,0
2014,mangrove,2015,0
2014,mangrove_inland1km,2015,0
2014,mangrove_offshore,2015,0
2015,mangrove,2015,0
2015,mangrove_inland1km,2015,0
2015,mangrove_offshore,2015,0
2017,mangrove,2015,0
2017,mangrove_inland1km,2015,0
2017,mangrove_offshore,2015,0
2018,mangrove,2015,0
2018,mangrove_inland1km,2015,0
2018,mangrove_offshore,2015,0
2019,mangrove,2015,0
2019,mangrove_inland1km,2015,0
2019,mangrove_offshore,2015,0
2020,mangrove,2015,0
2020,mangrove_inland1km,2015,0
