rgn_id,habitat,year,km2
1804,saltmarsh,2018,2018
1805,saltmarsh,2018,2018
1811,saltmarsh,2018,2018
1812,saltmarsh,2018,2018
1813,saltmarsh,2018,2018
1815,saltmarsh,2018,2018
1816,saltmarsh,2018,2018
1818,saltmarsh,2018,2018
1820,saltmarsh,2018,2018
1822,saltmarsh,2018,2018
1824,saltmarsh,2018,2018
1827,saltmarsh,2018,2018
1828,saltmarsh,2018,2018
1832,saltmarsh,2018,2018
1833,saltmarsh,2018,2018
1834,saltmarsh,2018,2018
1835,saltmarsh,2018,2018
1836,saltmarsh,2018,2018
1837,saltmarsh,2018,2018
1838,saltmarsh,2018,2018
1840,saltmarsh,2018,2018
1841,saltmarsh,2018,2018
1845,saltmarsh,2018,2018
1848,saltmarsh,2018,2018
1849,saltmarsh,2018,2018
1850,saltmarsh,2018,2018
1851,saltmarsh,2018,2018
1852,saltmarsh,2018,2018
1853,saltmarsh,2018,2018
1854,saltmarsh,2018,2018
1856,saltmarsh,2018,2018
1857,saltmarsh,2018,2018
1859,saltmarsh,2018,2018
1860,saltmarsh,2018,2018
1865,saltmarsh,2018,2018
1866,saltmarsh,2018,2018
1867,saltmarsh,2018,2018
1868,saltmarsh,2018,2018
1870,saltmarsh,2018,2018
1871,saltmarsh,2018,2018
1874,saltmarsh,2018,2018
1902,saltmarsh,2018,2018
1903,saltmarsh,2018,2018
1911,saltmarsh,2018,2018
1913,saltmarsh,2018,2018
1917,saltmarsh,2018,2018
1919,saltmarsh,2018,2018
1920,saltmarsh,2018,2018
1923,saltmarsh,2018,2018
1924,saltmarsh,2018,2018
1925,saltmarsh,2018,2018
1926,saltmarsh,2018,2018
1927,saltmarsh,2018,2018
1928,saltmarsh,2018,2018
1929,saltmarsh,2018,2018
1931,saltmarsh,2018,2018
1933,saltmarsh,2018,2018
1936,saltmarsh,2018,2018
1938,saltmarsh,2018,2018
1939,saltmarsh,2018,2018
1940,saltmarsh,2018,2018
1941,saltmarsh,2018,2018
1942,saltmarsh,2018,2018
1943,saltmarsh,2018,2018
2002,saltmarsh,2018,2018
2003,saltmarsh,2018,2018
2004,saltmarsh,2018,2018
2012,saltmarsh,2018,2018
2014,saltmarsh,2018,2018
2015,saltmarsh,2018,2018
2017,saltmarsh,2018,2018
2018,saltmarsh,2018,2018
2019,saltmarsh,2018,2018
2020,saltmarsh,2018,2018
2022,saltmarsh,2018,2018
2023,saltmarsh,2018,2018
2024,saltmarsh,2018,2018
2025,saltmarsh,2018,2018
2027,saltmarsh,2018,2018
2028,saltmarsh,2018,2018
2030,saltmarsh,2018,2018
