rgn_id,habitat,year,health
1804,seagrass,2018,2018
1805,seagrass,2018,2018
1811,seagrass,2018,2018
1812,seagrass,2018,2018
1813,seagrass,2018,2018
1815,seagrass,2018,2018
1816,seagrass,2018,2018
1818,seagrass,2018,2018
1820,seagrass,2018,2018
1822,seagrass,2018,2018
1824,seagrass,2018,2018
1827,seagrass,2018,2018
1828,seagrass,2018,2018
1832,seagrass,2018,2018
1833,seagrass,2018,2018
1834,seagrass,2018,2018
1835,seagrass,2018,2018
1836,seagrass,2018,2018
1837,seagrass,2018,2018
1838,seagrass,2018,2018
1840,seagrass,2018,2018
1841,seagrass,2018,2018
1845,seagrass,2018,2018
1848,seagrass,2018,2018
1849,seagrass,2018,2018
1850,seagrass,2018,2018
1851,seagrass,2018,2018
1852,seagrass,2018,2018
1853,seagrass,2018,2018
1854,seagrass,2018,2018
1856,seagrass,2018,2018
1857,seagrass,2018,2018
1859,seagrass,2018,2018
1860,seagrass,2018,2018
1865,seagrass,2018,2018
1866,seagrass,2018,2018
1867,seagrass,2018,2018
1868,seagrass,2018,2018
1870,seagrass,2018,2018
1871,seagrass,2018,2018
1874,seagrass,2018,2018
1902,seagrass,2018,2018
1903,seagrass,2018,2018
1911,seagrass,2018,2018
1913,seagrass,2018,2018
1917,seagrass,2018,2018
1919,seagrass,2018,2018
1920,seagrass,2018,2018
1923,seagrass,2018,2018
1924,seagrass,2018,2018
1925,seagrass,2018,2018
1926,seagrass,2018,2018
1927,seagrass,2018,2018
1928,seagrass,2018,2018
1929,seagrass,2018,2018
1931,seagrass,2018,2018
1933,seagrass,2018,2018
1936,seagrass,2018,2018
1938,seagrass,2018,2018
1939,seagrass,2018,2018
1940,seagrass,2018,2018
1941,seagrass,2018,2018
1942,seagrass,2018,2018
1943,seagrass,2018,2018
2002,seagrass,2018,2018
2003,seagrass,2018,2018
2004,seagrass,2018,2018
2012,seagrass,2018,2018
2014,seagrass,2018,2018
2015,seagrass,2018,2018
2017,seagrass,2018,2018
2018,seagrass,2018,2018
2019,seagrass,2018,2018
2020,seagrass,2018,2018
2022,seagrass,2018,2018
2023,seagrass,2018,2018
2024,seagrass,2018,2018
2025,seagrass,2018,2018
2027,seagrass,2018,2018
2028,seagrass,2018,2018
2030,seagrass,2018,2018
