rgn_id,habitat,year,km2
1804,soft_bottom,2012,459781.3991219
1805,soft_bottom,2012,459781.3991219
1811,soft_bottom,2012,459781.3991219
1812,soft_bottom,2012,459781.3991219
1813,soft_bottom,2012,459781.3991219
1815,soft_bottom,2012,459781.3991219
1816,soft_bottom,2012,459781.3991219
1818,soft_bottom,2012,459781.3991219
1820,soft_bottom,2012,459781.3991219
1822,soft_bottom,2012,459781.3991219
1824,soft_bottom,2012,459781.3991219
1827,soft_bottom,2012,459781.3991219
1828,soft_bottom,2012,459781.3991219
1832,soft_bottom,2012,459781.3991219
1833,soft_bottom,2012,459781.3991219
1834,soft_bottom,2012,459781.3991219
1835,soft_bottom,2012,459781.3991219
1836,soft_bottom,2012,459781.3991219
1837,soft_bottom,2012,459781.3991219
1838,soft_bottom,2012,459781.3991219
1840,soft_bottom,2012,459781.3991219
1841,soft_bottom,2012,459781.3991219
1845,soft_bottom,2012,459781.3991219
1848,soft_bottom,2012,459781.3991219
1849,soft_bottom,2012,459781.3991219
1850,soft_bottom,2012,459781.3991219
1851,soft_bottom,2012,459781.3991219
1852,soft_bottom,2012,459781.3991219
1853,soft_bottom,2012,459781.3991219
1854,soft_bottom,2012,459781.3991219
1856,soft_bottom,2012,459781.3991219
1857,soft_bottom,2012,459781.3991219
1859,soft_bottom,2012,459781.3991219
1860,soft_bottom,2012,459781.3991219
1865,soft_bottom,2012,459781.3991219
1866,soft_bottom,2012,459781.3991219
1867,soft_bottom,2012,459781.3991219
1868,soft_bottom,2012,459781.3991219
1870,soft_bottom,2012,459781.3991219
1871,soft_bottom,2012,459781.3991219
1874,soft_bottom,2012,459781.3991219
1902,soft_bottom,2012,459781.3991219
1903,soft_bottom,2012,459781.3991219
1911,soft_bottom,2012,459781.3991219
1913,soft_bottom,2012,459781.3991219
1917,soft_bottom,2012,459781.3991219
1919,soft_bottom,2012,459781.3991219
1920,soft_bottom,2012,459781.3991219
1923,soft_bottom,2012,459781.3991219
1924,soft_bottom,2012,459781.3991219
1925,soft_bottom,2012,459781.3991219
1926,soft_bottom,2012,459781.3991219
1927,soft_bottom,2012,459781.3991219
1928,soft_bottom,2012,459781.3991219
1929,soft_bottom,2012,459781.3991219
1931,soft_bottom,2012,459781.3991219
1933,soft_bottom,2012,459781.3991219
1936,soft_bottom,2012,459781.3991219
1938,soft_bottom,2012,459781.3991219
1939,soft_bottom,2012,459781.3991219
1940,soft_bottom,2012,459781.3991219
1941,soft_bottom,2012,459781.3991219
1942,soft_bottom,2012,459781.3991219
1943,soft_bottom,2012,459781.3991219
2002,soft_bottom,2012,459781.3991219
2003,soft_bottom,2012,459781.3991219
2004,soft_bottom,2012,459781.3991219
2012,soft_bottom,2012,459781.3991219
2014,soft_bottom,2012,459781.3991219
2015,soft_bottom,2012,459781.3991219
2017,soft_bottom,2012,459781.3991219
2018,soft_bottom,2012,459781.3991219
2019,soft_bottom,2012,459781.3991219
2020,soft_bottom,2012,459781.3991219
2022,soft_bottom,2012,459781.3991219
2023,soft_bottom,2012,459781.3991219
2024,soft_bottom,2012,459781.3991219
2025,soft_bottom,2012,459781.3991219
2027,soft_bottom,2012,459781.3991219
2028,soft_bottom,2012,459781.3991219
2030,soft_bottom,2012,459781.3991219
