rgn_id,year,score
1804,2018,0
1805,2018,0
1811,2018,0
1812,2018,0
1813,2018,0
1815,2018,0
1816,2018,0
1818,2018,0
1820,2018,0
1822,2018,0
1824,2018,0
1827,2018,0
1828,2018,0
1832,2018,0
1833,2018,0
1834,2018,0
1835,2018,0
1836,2018,0
1837,2018,0
1838,2018,0
1840,2018,0
1841,2018,0
1845,2018,0
1848,2018,0
1849,2018,0
1850,2018,0
1851,2018,0
1852,2018,0
1853,2018,0
1854,2018,0
1856,2018,0
1857,2018,0
1859,2018,0
1860,2018,0
1865,2018,0
1866,2018,0
1867,2018,0
1868,2018,0
1870,2018,0
1871,2018,0
1874,2018,0
1902,2018,0
1903,2018,0
1911,2018,0
1913,2018,0
1917,2018,0
1919,2018,0
1920,2018,0
1923,2018,0
1924,2018,0
1925,2018,0
1926,2018,0
1927,2018,0
1928,2018,0
1929,2018,0
1931,2018,0
1933,2018,0
1936,2018,0
1938,2018,0
1939,2018,0
1940,2018,0
1941,2018,0
1942,2018,0
1943,2018,0
2002,2018,0
2003,2018,0
2004,2018,0
2012,2018,0
2014,2018,0
2015,2018,0
2017,2018,0
2018,2018,0
2019,2018,0
2020,2018,0
2022,2018,0
2023,2018,0
2024,2018,0
2025,2018,0
2027,2018,0
2028,2018,0
2030,2018,0
