rgn_id,sciname,iucn_sid,year,eval_yr,category
1804,Alopias vulpinus,39339,2018,2009,VU
1804,Balaena mysticetus,2467,2018,2018,LC
1804,Balaena mysticetus,2472,2018,2018,EN
1804,Balaenoptera acutorostrata,2474,2018,2008,LC
1804,Balaenoptera musculus,2477,2018,2008,EN
1804,Balaenoptera physalus,2478,2018,2013,EN
1804,Cetorhinus maximus,4292,2018,2009,VU
1804,Cetorhinus maximus,39340,2018,2009,EN
1804,Eubalaena glacialis,41712,2018,2018,EN
1804,Isurus oxyrinchus,39341,2018,2009,VU
1804,Isurus oxyrinchus,161749,2018,2009,VU
1804,Lamna nasus,39343,2018,2006,CR
1804,Megaptera novaeangliae,13006,2018,2008,LC
1804,Prionace glauca,39381,2018,2009,NT
1804,Ursus maritimus,22823,2018,2015,VU
1804,Alopias vulpinus,39339,2017,2009,VU
1804,Balaena mysticetus,2467,2017,2012,LC
1804,Balaena mysticetus,2472,2017,2012,CR
1804,Balaenoptera acutorostrata,2474,2017,2008,LC
1804,Balaenoptera musculus,2477,2017,2008,EN
1804,Balaenoptera physalus,2478,2017,2013,EN
1804,Cetorhinus maximus,4292,2017,2009,VU
1804,Cetorhinus maximus,39340,2017,2009,EN
1804,Eubalaena glacialis,41712,2017,2012,EN
1804,Isurus oxyrinchus,39341,2017,2009,VU
1804,Isurus oxyrinchus,161749,2017,2009,VU
1804,Lamna nasus,39343,2017,2006,CR
1804,Megaptera novaeangliae,13006,2017,2008,LC
1804,Prionace glauca,39381,2017,2009,NT
1804,Ursus maritimus,22823,2017,2015,VU
1804,Alopias vulpinus,39339,2016,2009,VU
1804,Balaena mysticetus,2467,2016,2012,LC
1804,Balaena mysticetus,2472,2016,2012,CR
1804,Balaenoptera acutorostrata,2474,2016,2008,LC
1804,Balaenoptera musculus,2477,2016,2008,EN
1804,Balaenoptera physalus,2478,2016,2013,EN
1804,Cetorhinus maximus,4292,2016,2009,VU
1804,Cetorhinus maximus,39340,2016,2009,EN
1804,Eubalaena glacialis,41712,2016,2012,EN
1804,Isurus oxyrinchus,39341,2016,2009,VU
1804,Isurus oxyrinchus,161749,2016,2009,VU
1804,Lamna nasus,39343,2016,2006,CR
1804,Megaptera novaeangliae,13006,2016,2008,LC
1804,Prionace glauca,39381,2016,2009,NT
1804,Ursus maritimus,22823,2016,2015,VU
1804,Alopias vulpinus,39339,2015,2009,VU
1804,Balaena mysticetus,2467,2015,2012,LC
1804,Balaena mysticetus,2472,2015,2012,CR
1804,Balaenoptera acutorostrata,2474,2015,2008,LC
1804,Balaenoptera musculus,2477,2015,2008,EN
1804,Balaenoptera physalus,2478,2015,2013,EN
1804,Cetorhinus maximus,4292,2015,2009,VU
1804,Cetorhinus maximus,39340,2015,2009,EN
1804,Eubalaena glacialis,41712,2015,2012,EN
1804,Isurus oxyrinchus,39341,2015,2009,VU
1804,Isurus oxyrinchus,161749,2015,2009,VU
1804,Lamna nasus,39343,2015,2006,CR
1804,Megaptera novaeangliae,13006,2015,2008,LC
1804,Prionace glauca,39381,2015,2009,NT
1804,Ursus maritimus,22823,2015,2015,VU
1804,Alopias vulpinus,39339,2014,2009,VU
1804,Balaena mysticetus,2467,2014,2012,LC
1804,Balaena mysticetus,2472,2014,2012,CR
1804,Balaenoptera acutorostrata,2474,2014,2008,LC
1804,Balaenoptera musculus,2477,2014,2008,EN
1804,Balaenoptera physalus,2478,2014,2013,EN
1804,Cetorhinus maximus,4292,2014,2009,VU
1804,Cetorhinus maximus,39340,2014,2009,EN
1804,Eubalaena glacialis,41712,2014,2012,EN
1804,Isurus oxyrinchus,39341,2014,2009,VU
1804,Isurus oxyrinchus,161749,2014,2009,VU
1804,Lamna nasus,39343,2014,2006,CR
1804,Megaptera novaeangliae,13006,2014,2008,LC
1804,Prionace glauca,39381,2014,2009,NT
1804,Ursus maritimus,22823,2014,2008,VU
1804,Alopias vulpinus,39339,2013,2009,VU
1804,Balaena mysticetus,2467,2013,2012,LC
1804,Balaena mysticetus,2472,2013,2012,CR
1804,Balaenoptera acutorostrata,2474,2013,2008,LC
1804,Balaenoptera musculus,2477,2013,2008,EN
1804,Balaenoptera physalus,2478,2013,2013,EN
1804,Cetorhinus maximus,4292,2013,2009,VU
1804,Cetorhinus maximus,39340,2013,2009,EN
1804,Eubalaena glacialis,41712,2013,2012,EN
1804,Isurus oxyrinchus,39341,2013,2009,VU
1804,Isurus oxyrinchus,161749,2013,2009,VU
1804,Lamna nasus,39343,2013,2006,CR
1804,Megaptera novaeangliae,13006,2013,2008,LC
1804,Prionace glauca,39381,2013,2009,NT
1804,Ursus maritimus,22823,2013,2008,VU
1804,Alopias vulpinus,39339,2012,2009,VU
1804,Balaena mysticetus,2467,2012,2012,LC
1804,Balaena mysticetus,2472,2012,2012,CR
1804,Balaenoptera acutorostrata,2474,2012,2008,LC
1804,Balaenoptera musculus,2477,2012,2008,EN
