rgn_id,sector,weight
1804,aqf,1
1804,cf,1
1804,mar,1
1804,mmw,1
1804,tour,1
1805,aqf,1
1805,cf,1
1805,mar,1
1805,mmw,1
1805,tour,1
1811,aqf,1
1811,cf,1
1811,mar,1
1811,mmw,1
1811,tour,1
1812,aqf,1
1812,cf,1
1812,mar,1
1812,mmw,1
1812,tour,1
1813,aqf,1
1813,cf,1
1813,mar,1
1813,mmw,1
1813,tour,1
1815,aqf,1
1815,cf,1
1815,mar,1
1815,mmw,1
1815,tour,1
1816,aqf,1
1816,cf,1
1816,mar,1
1816,mmw,1
1816,tour,1
1818,aqf,1
1818,cf,1
1818,mar,1
1818,mmw,1
1818,tour,1
1820,aqf,1
1820,cf,1
1820,mar,1
1820,mmw,1
1820,tour,1
1822,aqf,1
1822,cf,1
1822,mar,1
1822,mmw,1
1822,tour,1
1824,aqf,1
1824,cf,1
1824,mar,1
1824,mmw,1
1824,tour,1
1827,aqf,1
1827,cf,1
1827,mar,1
1827,mmw,1
1827,tour,1
1828,aqf,1
1828,cf,1
1828,mar,1
1828,mmw,1
1828,tour,1
1832,aqf,1
1832,cf,1
1832,mar,1
1832,mmw,1
1832,tour,1
1833,aqf,1
1833,cf,1
1833,mar,1
1833,mmw,1
1833,tour,1
1834,aqf,1
1834,cf,1
1834,mar,1
1834,mmw,1
1834,tour,1
1835,aqf,1
1835,cf,1
1835,mar,1
1835,mmw,1
1835,tour,1
1836,aqf,1
1836,cf,1
1836,mar,1
1836,mmw,1
1836,tour,1
1837,aqf,1
1837,cf,1
1837,mar,1
1837,mmw,1
1837,tour,1
1838,aqf,1
1838,cf,1
1838,mar,1
1838,mmw,1
1838,tour,1
1840,aqf,1
1840,cf,1
1840,mar,1
1840,mmw,1
1840,tour,1
1841,aqf,1
1841,cf,1
1841,mar,1
1841,mmw,1
1841,tour,1
1845,aqf,1
1845,cf,1
1845,mar,1
1845,mmw,1
1845,tour,1
1848,aqf,1
1848,cf,1
1848,mar,1
1848,mmw,1
1848,tour,1
1849,aqf,1
1849,cf,1
1849,mar,1
1849,mmw,1
1849,tour,1
1850,aqf,1
1850,cf,1
1850,mar,1
1850,mmw,1
1850,tour,1
1851,aqf,1
1851,cf,1
1851,mar,1
1851,mmw,1
1851,tour,1
1852,aqf,1
1852,cf,1
1852,mar,1
1852,mmw,1
1852,tour,1
1853,aqf,1
1853,cf,1
1853,mar,1
1853,mmw,1
1853,tour,1
1854,aqf,1
1854,cf,1
1854,mar,1
1854,mmw,1
1854,tour,1
1856,aqf,1
1856,cf,1
1856,mar,1
1856,mmw,1
1856,tour,1
1857,aqf,1
1857,cf,1
1857,mar,1
1857,mmw,1
1857,tour,1
1859,aqf,1
1859,cf,1
1859,mar,1
1859,mmw,1
1859,tour,1
1860,aqf,1
1860,cf,1
1860,mar,1
1860,mmw,1
1860,tour,1
1865,aqf,1
1865,cf,1
1865,mar,1
1865,mmw,1
1865,tour,1
1866,aqf,1
1866,cf,1
1866,mar,1
1866,mmw,1
1866,tour,1
1867,aqf,1
1867,cf,1
1867,mar,1
1867,mmw,1
1867,tour,1
1868,aqf,1
1868,cf,1
1868,mar,1
1868,mmw,1
1868,tour,1
1870,aqf,1
1870,cf,1
1870,mar,1
1870,mmw,1
1870,tour,1
1871,aqf,1
1871,cf,1
1871,mar,1
1871,mmw,1
1871,tour,1
1874,aqf,1
1874,cf,1
1874,mar,1
1874,mmw,1
1874,tour,1
1902,aqf,1
1902,cf,1
1902,mar,1
1902,mmw,1
1902,tour,1
1903,aqf,1
1903,cf,1
1903,mar,1
1903,mmw,1
1903,tour,1
1911,aqf,1
1911,cf,1
1911,mar,1
1911,mmw,1
1911,tour,1
1913,aqf,1
1913,cf,1
1913,mar,1
1913,mmw,1
1913,tour,1
1917,aqf,1
1917,cf,1
1917,mar,1
1917,mmw,1
1917,tour,1
1919,aqf,1
1919,cf,1
1919,mar,1
1919,mmw,1
1919,tour,1
1920,aqf,1
1920,cf,1
1920,mar,1
1920,mmw,1
1920,tour,1
1923,aqf,1
1923,cf,1
1923,mar,1
1923,mmw,1
1923,tour,1
1924,aqf,1
1924,cf,1
1924,mar,1
1924,mmw,1
1924,tour,1
1925,aqf,1
1925,cf,1
1925,mar,1
1925,mmw,1
1925,tour,1
1926,aqf,1
1926,cf,1
1926,mar,1
1926,mmw,1
1926,tour,1
1927,aqf,1
1927,cf,1
1927,mar,1
1927,mmw,1
1927,tour,1
1928,aqf,1
1928,cf,1
1928,mar,1
1928,mmw,1
1928,tour,1
1929,aqf,1
1929,cf,1
1929,mar,1
1929,mmw,1
1929,tour,1
1931,aqf,1
1931,cf,1
1931,mar,1
1931,mmw,1
1931,tour,1
1933,aqf,1
1933,cf,1
1933,mar,1
1933,mmw,1
1933,tour,1
1936,aqf,1
1936,cf,1
1936,mar,1
1936,mmw,1
1936,tour,1
1938,aqf,1
1938,cf,1
1938,mar,1
1938,mmw,1
1938,tour,1
1939,aqf,1
1939,cf,1
1939,mar,1
1939,mmw,1
1939,tour,1
1940,aqf,1
1940,cf,1
1940,mar,1
1940,mmw,1
1940,tour,1
1941,aqf,1
1941,cf,1
1941,mar,1
1941,mmw,1
1941,tour,1
1942,aqf,1
1942,cf,1
1942,mar,1
1942,mmw,1
1942,tour,1
1943,aqf,1
1943,cf,1
1943,mar,1
1943,mmw,1
1943,tour,1
2002,aqf,1
2002,cf,1
2002,mar,1
2002,mmw,1
2002,tour,1
2003,aqf,1
2003,cf,1
2003,mar,1
2003,mmw,1
2003,tour,1
2004,aqf,1
2004,cf,1
2004,mar,1
2004,mmw,1
2004,tour,1
2012,aqf,1
2012,cf,1
2012,mar,1
2012,mmw,1
2012,tour,1
2014,aqf,1
