rgn_id,year,trend
1804,2012,-0.31
1804,2013,0.09
1805,2012,-0.31
1805,2013,0.09
1811,2012,-0.31
1811,2013,0.09
1812,2012,-0.31
1812,2013,0.09
1813,2012,-0.31
1813,2013,0.09
1815,2012,-0.31
1815,2013,0.09
1816,2012,-0.31
1816,2013,0.09
1818,2012,-0.31
1818,2013,0.09
1820,2012,-0.31
1820,2013,0.09
1822,2012,-0.31
1822,2013,0.09
1824,2012,-0.31
1824,2013,0.09
1827,2012,-0.31
1827,2013,0.09
1828,2012,-0.31
1828,2013,0.09
1832,2012,-0.31
1832,2013,0.09
1833,2012,-0.31
1833,2013,0.09
1834,2012,-0.31
1834,2013,0.09
1835,2012,-0.31
1835,2013,0.09
1836,2012,-0.31
1836,2013,0.09
1837,2012,-0.31
1837,2013,0.09
1838,2012,-0.31
1838,2013,0.09
1840,2012,-0.31
1840,2013,0.09
1841,2012,-0.31
1841,2013,0.09
1845,2012,-0.31
1845,2013,0.09
1848,2012,-0.31
1848,2013,0.09
1849,2012,-0.31
1849,2013,0.09
1850,2012,-0.31
1850,2013,0.09
1851,2012,-0.31
1851,2013,0.09
1852,2012,-0.31
1852,2013,0.09
1853,2012,-0.31
1853,2013,0.09
1854,2012,-0.31
1854,2013,0.09
1856,2012,-0.31
1856,2013,0.09
1857,2012,-0.31
1857,2013,0.09
1859,2012,-0.31
1859,2013,0.09
1860,2012,-0.31
1860,2013,0.09
1865,2012,-0.31
1865,2013,0.09
1866,2012,-0.31
1866,2013,0.09
1867,2012,-0.31
1867,2013,0.09
1868,2012,-0.31
1868,2013,0.09
1870,2012,-0.31
1870,2013,0.09
1871,2012,-0.31
1871,2013,0.09
1874,2012,-0.31
1874,2013,0.09
1902,2012,-0.31
1902,2013,0.09
1903,2012,-0.31
1903,2013,0.09
1911,2012,-0.31
1911,2013,0.09
1913,2012,-0.31
1913,2013,0.09
1917,2012,-0.31
1917,2013,0.09
1919,2012,-0.31
1919,2013,0.09
1920,2012,-0.31
1920,2013,0.09
1923,2012,-0.31
1923,2013,0.09
1924,2012,-0.31
1924,2013,0.09
1925,2012,-0.31
1925,2013,0.09
1926,2012,-0.31
1926,2013,0.09
1927,2012,-0.31
1927,2013,0.09
1928,2012,-0.31
1928,2013,0.09
1929,2012,-0.31
1929,2013,0.09
1931,2012,-0.31
1931,2013,0.09
1933,2012,-0.31
1933,2013,0.09
1936,2012,-0.31
1936,2013,0.09
1938,2012,-0.31
1938,2013,0.09
1939,2012,-0.31
1939,2013,0.09
1940,2012,-0.31
1940,2013,0.09
1941,2012,-0.31
1941,2013,0.09
1942,2012,-0.31
1942,2013,0.09
1943,2012,-0.31
1943,2013,0.09
2002,2012,-0.31
2002,2013,0.09
2003,2012,-0.31
2003,2013,0.09
2004,2012,-0.31
2004,2013,0.09
2012,2012,-0.31
2012,2013,0.09
2014,2012,-0.31
2014,2013,0.09
2015,2012,-0.31
2015,2013,0.09
2017,2012,-0.31
2017,2013,0.09
2018,2012,-0.31
2018,2013,0.09
2019,2012,-0.31
2019,2013,0.09
2020,2012,-0.31
2020,2013,0.09
2022,2012,-0.31
2022,2013,0.09
2023,2012,-0.31
2023,2013,0.09
2024,2012,-0.31
2024,2013,0.09
2025,2012,-0.31
2025,2013,0.09
2027,2012,-0.31
2027,2013,0.09
2028,2012,-0.31
2028,2013,0.09
2030,2012,-0.31
2030,2013,0.09
