rgn_id,year,taxa_code,sust_coeff
1804,2012,Arctic char_1052,0.533333333
1804,2012,Atlantic cod_1053,0.17
1804,2012,Atlantic halibut_1054,0.533333333
1804,2012,Atlantic salmon_1055,0.23
1804,2012,Blue mussel_1056,0.93
1804,2012,Chars nei_1057,0.444010417
1804,2012,European flat oyster_1058,0.83
1804,2012,Finfishes nei_1059,0.444010417
1804,2012,Great Atlantic scallop_1060,0.811764706
1804,2012,Marine crustaceans nei_1061,0.3
1804,2012,Pacific cupped oyster_1062,0.73
1804,2012,Rainbow trout_1063,0.566666667
1804,2012,Scallops nei_1064,0.833333333
1805,2012,Arctic char_1052,0.533333333
1805,2012,Atlantic cod_1053,0.17
1805,2012,Atlantic halibut_1054,0.533333333
1805,2012,Atlantic salmon_1055,0.23
1805,2012,Blue mussel_1056,0.93
1805,2012,Chars nei_1057,0.444010417
1805,2012,European flat oyster_1058,0.83
1805,2012,Finfishes nei_1059,0.444010417
1805,2012,Great Atlantic scallop_1060,0.811764706
1805,2012,Marine crustaceans nei_1061,0.3
1805,2012,Pacific cupped oyster_1062,0.73
1805,2012,Rainbow trout_1063,0.566666667
1805,2012,Scallops nei_1064,0.833333333
1811,2012,Arctic char_1052,0.533333333
1811,2012,Atlantic cod_1053,0.17
1811,2012,Atlantic halibut_1054,0.533333333
1811,2012,Atlantic salmon_1055,0.23
1811,2012,Blue mussel_1056,0.93
1811,2012,Chars nei_1057,0.444010417
1811,2012,European flat oyster_1058,0.83
1811,2012,Finfishes nei_1059,0.444010417
1811,2012,Great Atlantic scallop_1060,0.811764706
1811,2012,Marine crustaceans nei_1061,0.3
1811,2012,Pacific cupped oyster_1062,0.73
1811,2012,Rainbow trout_1063,0.566666667
1811,2012,Scallops nei_1064,0.833333333
1812,2012,Arctic char_1052,0.533333333
1812,2012,Atlantic cod_1053,0.17
1812,2012,Atlantic halibut_1054,0.533333333
1812,2012,Atlantic salmon_1055,0.23
1812,2012,Blue mussel_1056,0.93
1812,2012,Chars nei_1057,0.444010417
1812,2012,European flat oyster_1058,0.83
1812,2012,Finfishes nei_1059,0.444010417
1812,2012,Great Atlantic scallop_1060,0.811764706
1812,2012,Marine crustaceans nei_1061,0.3
1812,2012,Pacific cupped oyster_1062,0.73
1812,2012,Rainbow trout_1063,0.566666667
1812,2012,Scallops nei_1064,0.833333333
1813,2012,Arctic char_1052,0.533333333
1813,2012,Atlantic cod_1053,0.17
1813,2012,Atlantic halibut_1054,0.533333333
1813,2012,Atlantic salmon_1055,0.23
1813,2012,Blue mussel_1056,0.93
1813,2012,Chars nei_1057,0.444010417
1813,2012,European flat oyster_1058,0.83
1813,2012,Finfishes nei_1059,0.444010417
1813,2012,Great Atlantic scallop_1060,0.811764706
1813,2012,Marine crustaceans nei_1061,0.3
1813,2012,Pacific cupped oyster_1062,0.73
