rgn_id,year,score
1804,2018,2018
1805,2018,2018
1811,2018,2018
1812,2018,2018
1813,2018,2018
1815,2018,2018
1816,2018,2018
1818,2018,2018
1820,2018,2018
1822,2018,2018
1824,2018,2018
1827,2018,2018
1828,2018,2018
1832,2018,2018
1833,2018,2018
1834,2018,2018
1835,2018,2018
1836,2018,2018
1837,2018,2018
1838,2018,2018
1840,2018,2018
1841,2018,2018
1845,2018,2018
1848,2018,2018
1849,2018,2018
1850,2018,2018
1851,2018,2018
1852,2018,2018
1853,2018,2018
1854,2018,2018
1856,2018,2018
1857,2018,2018
1859,2018,2018
1860,2018,2018
1865,2018,2018
1866,2018,2018
1867,2018,2018
1868,2018,2018
1870,2018,2018
1871,2018,2018
1874,2018,2018
1902,2018,2018
1903,2018,2018
1911,2018,2018
1913,2018,2018
1917,2018,2018
1919,2018,2018
1920,2018,2018
1923,2018,2018
1924,2018,2018
1925,2018,2018
1926,2018,2018
1927,2018,2018
1928,2018,2018
1929,2018,2018
1931,2018,2018
1933,2018,2018
1936,2018,2018
1938,2018,2018
1939,2018,2018
1940,2018,2018
1941,2018,2018
1942,2018,2018
1943,2018,2018
2002,2018,2018
2003,2018,2018
2004,2018,2018
2012,2018,2018
2014,2018,2018
2015,2018,2018
2017,2018,2018
2018,2018,2018
2019,2018,2018
2020,2018,2018
2022,2018,2018
2023,2018,2018
2024,2018,2018
2025,2018,2018
2027,2018,2018
2028,2018,2018
2030,2018,2018
