rgn_id,area_km2
1804,1716659
1805,1716659
1811,1716659
1812,1716659
1813,1716659
1815,1716659
1816,1716659
1818,1716659
1820,1716659
1822,1716659
1824,1716659
1827,1716659
1828,1716659
1832,1716659
1833,1716659
1834,1716659
1835,1716659
1836,1716659
1837,1716659
1838,1716659
1840,1716659
1841,1716659
1845,1716659
1848,1716659
1849,1716659
1850,1716659
1851,1716659
1852,1716659
1853,1716659
1854,1716659
1856,1716659
1857,1716659
1859,1716659
1860,1716659
1865,1716659
1866,1716659
1867,1716659
1868,1716659
1870,1716659
1871,1716659
1874,1716659
1902,1716659
1903,1716659
1911,1716659
1913,1716659
1917,1716659
1919,1716659
1920,1716659
1923,1716659
1924,1716659
1925,1716659
1926,1716659
1927,1716659
1928,1716659
1929,1716659
1931,1716659
1933,1716659
1936,1716659
1938,1716659
1939,1716659
1940,1716659
1941,1716659
1942,1716659
1943,1716659
2002,1716659
2003,1716659
2004,1716659
2012,1716659
2014,1716659
2015,1716659
2017,1716659
2018,1716659
2019,1716659
2020,1716659
2022,1716659
2023,1716659
2024,1716659
2025,1716659
2027,1716659
2028,1716659
2030,1716659
