rgn_id,area
1804,36582.25
1805,36582.25
1811,36582.25
1812,36582.25
1813,36582.25
1815,36582.25
1816,36582.25
1818,36582.25
1820,36582.25
1822,36582.25
1824,36582.25
1827,36582.25
1828,36582.25
1832,36582.25
1833,36582.25
1834,36582.25
1835,36582.25
1836,36582.25
1837,36582.25
1838,36582.25
1840,36582.25
1841,36582.25
1845,36582.25
1848,36582.25
1849,36582.25
1850,36582.25
1851,36582.25
1852,36582.25
1853,36582.25
1854,36582.25
1856,36582.25
1857,36582.25
1859,36582.25
1860,36582.25
1865,36582.25
1866,36582.25
1867,36582.25
1868,36582.25
1870,36582.25
1871,36582.25
1874,36582.25
1902,36582.25
1903,36582.25
1911,36582.25
1913,36582.25
1917,36582.25
1919,36582.25
1920,36582.25
1923,36582.25
1924,36582.25
1925,36582.25
1926,36582.25
1927,36582.25
1928,36582.25
1929,36582.25
1931,36582.25
1933,36582.25
1936,36582.25
1938,36582.25
1939,36582.25
1940,36582.25
1941,36582.25
1942,36582.25
1943,36582.25
2002,36582.25
2003,36582.25
2004,36582.25
2012,36582.25
2014,36582.25
2015,36582.25
2017,36582.25
2018,36582.25
2019,36582.25
2020,36582.25
2022,36582.25
2023,36582.25
2024,36582.25
2025,36582.25
2027,36582.25
2028,36582.25
2030,36582.25
