rgn_id,area
1804,104353.25
1805,104353.25
1811,104353.25
1812,104353.25
1813,104353.25
1815,104353.25
1816,104353.25
1818,104353.25
1820,104353.25
1822,104353.25
1824,104353.25
1827,104353.25
1828,104353.25
1832,104353.25
1833,104353.25
1834,104353.25
1835,104353.25
1836,104353.25
1837,104353.25
1838,104353.25
1840,104353.25
1841,104353.25
1845,104353.25
1848,104353.25
1849,104353.25
1850,104353.25
1851,104353.25
1852,104353.25
1853,104353.25
1854,104353.25
1856,104353.25
1857,104353.25
1859,104353.25
1860,104353.25
1865,104353.25
1866,104353.25
1867,104353.25
1868,104353.25
1870,104353.25
1871,104353.25
1874,104353.25
1902,104353.25
1903,104353.25
1911,104353.25
1913,104353.25
1917,104353.25
1919,104353.25
1920,104353.25
1923,104353.25
1924,104353.25
1925,104353.25
1926,104353.25
1927,104353.25
1928,104353.25
1929,104353.25
1931,104353.25
1933,104353.25
1936,104353.25
1938,104353.25
1939,104353.25
1940,104353.25
1941,104353.25
1942,104353.25
1943,104353.25
2002,104353.25
2003,104353.25
2004,104353.25
2012,104353.25
2014,104353.25
2015,104353.25
2017,104353.25
2018,104353.25
2019,104353.25
2020,104353.25
2022,104353.25
2023,104353.25
2024,104353.25
2025,104353.25
2027,104353.25
2028,104353.25
2030,104353.25
