rgn_id,resilience.score
1804,0.75
1805,0.75
1811,0.75
1812,0.75
1813,0.75
1815,0.75
1816,0.75
1818,0.75
1820,0.75
1822,0.75
1824,0.75
1827,0.75
1828,0.75
1832,0.75
1833,0.75
1834,0.75
1835,0.75
1836,0.75
1837,0.75
1838,0.75
1840,0.75
1841,0.75
1845,0.75
1848,0.75
1849,0.75
1850,0.75
1851,0.75
1852,0.75
1853,0.75
1854,0.75
1856,0.75
1857,0.75
1859,0.75
1860,0.75
1865,0.75
1866,0.75
1867,0.75
1868,0.75
1870,0.75
1871,0.75
1874,0.75
1902,0.75
1903,0.75
1911,0.75
1913,0.75
1917,0.75
1919,0.75
1920,0.75
1923,0.75
1924,0.75
1925,0.75
1926,0.75
1927,0.75
1928,0.75
1929,0.75
1931,0.75
1933,0.75
1936,0.75
1938,0.75
1939,0.75
1940,0.75
1941,0.75
1942,0.75
1943,0.75
2002,0.75
2003,0.75
2004,0.75
2012,0.75
2014,0.75
2015,0.75
2017,0.75
2018,0.75
2019,0.75
2020,0.75
2022,0.75
2023,0.75
2024,0.75
2025,0.75
2027,0.75
2028,0.75
2030,0.75
