goal,dimension,region_id,score
AO,future,0,100
AO,future,1804,100
AO,future,1805,100
AO,future,1811,100
AO,future,1812,100
AO,future,1813,100
AO,future,1815,100
AO,future,1816,100
AO,future,1818,100
AO,future,1820,100
AO,future,1822,100
AO,future,1824,100
AO,future,1827,100
AO,future,1828,100
AO,future,1832,100
AO,future,1833,100
AO,future,1834,100
AO,future,1835,100
AO,future,1836,100
AO,future,1837,100
AO,future,1838,100
AO,future,1840,100
AO,future,1841,100
AO,future,1845,100
AO,future,1848,100
AO,future,1849,100
AO,future,1850,100
AO,future,1851,100
AO,future,1852,100
AO,future,1853,100
AO,future,1854,100
AO,future,1856,100
AO,future,1857,100
AO,future,1859,100
AO,future,1860,100
AO,future,1865,100
AO,future,1866,100
AO,future,1867,100
AO,future,1868,100
AO,future,1870,100
AO,future,1871,100
AO,future,1874,100
AO,future,1902,100
AO,future,1903,100
AO,future,1911,100
AO,future,1913,100
AO,future,1917,100
AO,future,1919,100
AO,future,1920,100
AO,future,1923,100
AO,future,1924,100
AO,future,1925,100
AO,future,1926,100
AO,future,1927,100
AO,future,1928,100
AO,future,1929,100
AO,future,1931,100
AO,future,1933,100
AO,future,1936,100
AO,future,1938,100
AO,future,1939,100
AO,future,1940,100
AO,future,1941,100
AO,future,1942,100
AO,future,1943,100
AO,future,2002,100
AO,future,2003,100
AO,future,2004,100
AO,future,2012,100
AO,future,2014,100
AO,future,2015,100
AO,future,2017,100
AO,future,2018,100
AO,future,2019,100
AO,future,2020,100
AO,future,2022,100
AO,future,2023,100
AO,future,2024,100
AO,future,2025,100
AO,future,2027,100
AO,future,2028,100
AO,future,2030,100
AO,pressures,1804,16.72
AO,pressures,1805,16.72
AO,pressures,1811,16.72
AO,pressures,1812,16.72
AO,pressures,1813,16.72
AO,pressures,1815,16.72
AO,pressures,1816,16.72
AO,pressures,1818,16.72
AO,pressures,1820,16.72
AO,pressures,1822,16.72
AO,pressures,1824,16.72
AO,pressures,1827,16.72
AO,pressures,1828,16.72
AO,pressures,1832,16.72
AO,pressures,1833,16.72
AO,pressures,1834,16.72
AO,pressures,1835,16.72
AO,pressures,1836,16.72
AO,pressures,1837,16.72
AO,pressures,1838,16.72
AO,pressures,1840,16.72
AO,pressures,1841,16.72
AO,pressures,1845,16.72
AO,pressures,1848,16.72
AO,pressures,1849,16.72
AO,pressures,1850,16.72
AO,pressures,1851,16.72
AO,pressures,1852,16.72
AO,pressures,1853,16.72
AO,pressures,1854,16.72
AO,pressures,1856,16.72
AO,pressures,1857,16.72
AO,pressures,1859,16.72
AO,pressures,1860,16.72
AO,pressures,1865,16.72
AO,pressures,1866,16.72
AO,pressures,1867,16.72
AO,pressures,1868,16.72
AO,pressures,1870,16.72
AO,pressures,1871,16.72
AO,pressures,1874,16.72
AO,pressures,1902,16.72
AO,pressures,1903,16.72
AO,pressures,1911,16.72
AO,pressures,1913,16.72
AO,pressures,1917,16.72
AO,pressures,1919,16.72
AO,pressures,1920,16.72
AO,pressures,1923,16.72
AO,pressures,1924,16.72
AO,pressures,1925,16.72
AO,pressures,1926,16.72
AO,pressures,1927,16.72
AO,pressures,1928,16.72
AO,pressures,1929,16.72
AO,pressures,1931,16.72
AO,pressures,1933,16.72
AO,pressures,1936,16.72
AO,pressures,1938,16.72
AO,pressures,1939,16.72
AO,pressures,1940,16.72
AO,pressures,1941,16.72
AO,pressures,1942,16.72
AO,pressures,1943,16.72
AO,pressures,2002,16.72
AO,pressures,2003,16.72
AO,pressures,2004,16.72
AO,pressures,2012,16.72
AO,pressures,2014,16.72
AO,pressures,2015,16.72
AO,pressures,2017,16.72
AO,pressures,2018,16.72
AO,pressures,2019,16.72
AO,pressures,2020,16.72
AO,pressures,2022,16.72
AO,pressures,2023,16.72
AO,pressures,2024,16.72
AO,pressures,2025,16.72
AO,pressures,2027,16.72
AO,pressures,2028,16.72
AO,pressures,2030,16.72
AO,resilience,1804,85.75
AO,resilience,1805,85.75
AO,resilience,1811,85.75
AO,resilience,1812,85.75
AO,resilience,1813,85.75
AO,resilience,1815,85.75
AO,resilience,1816,85.75
AO,resilience,1818,85.75
AO,resilience,1820,85.75
AO,resilience,1822,85.75
