rgn_id,rgn_name,area_km2
1804,Bodo,3463.780008137207
1805,Narvik,201.19038818896485
1811,Bindal,661.3204444143066
1812,Somna,602.8016159956055
1813,Bronnoy,1072.756490328125
1815,Vega,2773.9754799208986
1816,Vevelstad,131.59381617700194
1818,Heroy,2216.2061058635254
1820,Alstahaug,405.1744380644531
1822,Leirfjord,130.5338509736328
1824,Vefsn,102.64900772631836
1827,Donna,580.9641405827637
1828,Nesna,219.98011911865234
1832,Hemnes,63.19737050341797
1833,Rana,132.0588679921875
1834,Luroy,1105.1907682644044
1835,Traena,1780.8738240400392
1836,Rodoy,2416.754284043457
1837,Meloy,1875.9930394926757
1838,Gildeskal,848.2269109880372
1840,Saltdal,29.45047394555664
1841,Fauske,95.77167311157227
1845,Sorfold,200.1221849182129
1848,Steigen,2498.3892202248535
1849,Hamaroy,544.0474134035644
1850,Tysfjord,474.8356829519043
1851,Lodingen,532.3965033459473
1852,Tjeldsund,131.88207094018554
1853,Evenes,140.21683049267577
1854,Ballangen,256.36427894018556
1856,Rost,3392.698472190674
1857,Vaeroy,1767.0415247443848
1859,Flakstad,1001.7246043566895
1860,Vestvagoy,1694.491314133789
1865,Vagan,1631.3469472124023
1866,Hadsel,626.1078436835937
1867,Bo,1579.9463109348144
1868,Oksnes,1493.6785497751464
1870,Sortland,380.0878436184082
1871,Andoy,2126.3095584628904
1874,Moskenes,1461.1230207856445
1902,Tromso,2786.0568055288086
1903,Harstad,1077.6948771022949
1911,Kvaefjord,187.84413604638672
1913,Skanland,85.77987845581055
1917,Ibestad,350.5153503813477
1919,Gratangen,62.79873824414062
1920,Lavangen,21.55234762890625
1923,Salangen,64.31933762011718
1924,Malselv,33.27613558154297
1925,Sorreisa,29.293090152832033
1926,Dyroy,184.30479435839842
1927,Tranoy,410.08122126367186
1928,Torsken,837.7125773100586
1929,Berg,839.9325901005859
1931,Lenvik,694.496788175293
1933,Balsfjord,248.0727233417969
1936,Karlsoy,4792.999503203613
1938,Lyngen,488.4255389970703
1939,Storfjord,62.204480350097654
1940,Kafjord,123.8135217836914
1941,Skjervoy,1084.9816653842774
1942,Nordreisa,241.13667120996095
1943,Kvaenangen,567.6956985688477
2002,Vardo,1893.9218368012696
2003,Vadso,709.4193229428711
2004,Hammerfest,2377.964156726074
2012,Alta,710.4498019995117
2014,Loppa,2119.5382016489257
2015,Hasvik,2211.9447144165038
2017,Kvalsund,296.79689615527343
2018,Masoy,2753.7039665541993
2019,Nordkapp,3174.901283544922
2020,Porsanger,1133.7466776586914
2022,Lebesby,2271.8762194760743
2023,Gamvik,1686.198161006836
2024,Berlevag,1322.2857344145507
2025,Tana,316.93011479052734
2027,Nesseby,198.3578899272461
2028,Batsfjord,1386.7337285004883
2030,Sor-Varanger,1162.2995515810546
