"rgn_id","habitat","boolean","layer"
1804,"seaice_edge",1,"element_wts_hab_pres_abs"
1805,"seaice_edge",1,"element_wts_hab_pres_abs"
1811,"seaice_edge",1,"element_wts_hab_pres_abs"
1812,"seaice_edge",1,"element_wts_hab_pres_abs"
1813,"seaice_edge",1,"element_wts_hab_pres_abs"
1815,"seaice_edge",1,"element_wts_hab_pres_abs"
1816,"seaice_edge",1,"element_wts_hab_pres_abs"
1818,"seaice_edge",1,"element_wts_hab_pres_abs"
1820,"seaice_edge",1,"element_wts_hab_pres_abs"
1822,"seaice_edge",1,"element_wts_hab_pres_abs"
1824,"seaice_edge",1,"element_wts_hab_pres_abs"
1827,"seaice_edge",1,"element_wts_hab_pres_abs"
1828,"seaice_edge",1,"element_wts_hab_pres_abs"
1832,"seaice_edge",1,"element_wts_hab_pres_abs"
1833,"seaice_edge",1,"element_wts_hab_pres_abs"
1834,"seaice_edge",1,"element_wts_hab_pres_abs"
1835,"seaice_edge",1,"element_wts_hab_pres_abs"
1836,"seaice_edge",1,"element_wts_hab_pres_abs"
1837,"seaice_edge",1,"element_wts_hab_pres_abs"
1838,"seaice_edge",1,"element_wts_hab_pres_abs"
1840,"seaice_edge",1,"element_wts_hab_pres_abs"
1841,"seaice_edge",1,"element_wts_hab_pres_abs"
1845,"seaice_edge",1,"element_wts_hab_pres_abs"
1848,"seaice_edge",1,"element_wts_hab_pres_abs"
1849,"seaice_edge",1,"element_wts_hab_pres_abs"
1850,"seaice_edge",1,"element_wts_hab_pres_abs"
1851,"seaice_edge",1,"element_wts_hab_pres_abs"
1852,"seaice_edge",1,"element_wts_hab_pres_abs"
1853,"seaice_edge",1,"element_wts_hab_pres_abs"
1854,"seaice_edge",1,"element_wts_hab_pres_abs"
1856,"seaice_edge",1,"element_wts_hab_pres_abs"
1857,"seaice_edge",1,"element_wts_hab_pres_abs"
1859,"seaice_edge",1,"element_wts_hab_pres_abs"
1860,"seaice_edge",1,"element_wts_hab_pres_abs"
